0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1
2	0	3	0	0	4	0	1	1	0	1	1	1	0	0	0	1	0	0	5	0	0	0	1	0
0	0	3	0	3	0	0	0	0	0	0	1	1	0	0	7	0	8	0	5	0	0	0	0	9
3	0	3	3	3	0	0	0	3	0	3	0	0	7	7	7	0	0	0	0	0	14	0	0	9
3	0	3	0	0	3	3	3	3	3	3	3	0	0	7	0	0	14	14	14	0	14	0	0	0
3	3	3	3	0	3	0	3	3	3	3	0	0	17	0	14	14	0	14	14	14	14	14	14	14
3	3	3	0	3	3	3	0	3	0	3	0	17	17	0	0	14	14	0	0	0	14	14	14	14
3	3	3	3	3	3	3	3	3	0	3	0	17	0	14	14	14	14	14	14	0	14	14	14	0
0	0	3	0	0	3	0	0	3	0	3	0	17	17	0	14	0	14	0	14	14	0	14	14	14
0	3	3	0	0	3	3	0	3	3	0	0	17	17	0	0	0	0	14	14	14	14	14	14	14
3	3	0	0	25	0	0	3	3	0	17	0	17	17	0	28	0	0	14	14	14	0	14	14	0
0	0	3	0	0	3	3	3	0	17	17	17	17	0	17	0	0	33	0	14	0	14	14	14	14
0	0	3	3	3	3	3	0	0	0	17	17	17	17	17	17	17	0	14	14	0	14	14	14	14
0	36	0	3	0	3	3	0	37	0	17	17	0	0	0	17	17	17	0	0	14	14	0	0	14
0	36	0	0	0	3	0	0	0	17	17	0	0	40	0	17	0	17	17	0	0	14	0	0	14
41	0	3	3	3	3	0	0	0	0	0	0	43	0	17	17	0	0	0	0	0	0	0	0	14
0	3	3	3	3	0	46	46	0	47	47	47	0	17	17	17	17	0	0	0	0	0	49	49	0
3	3	0	0	0	51	0	0	47	47	47	47	0	17	17	0	0	0	53	53	53	53	0	0	0
3	0	0	0	51	51	51	0	47	0	47	47	0	17	17	0	0	55	0	53	53	0	53	53	53
3	0	57	0	0	51	0	0	0	47	47	47	0	0	0	0	59	0	0	0	53	53	53	0	0
0	0	57	57	0	0	0	47	47	47	0	0	61	61	0	0	0	62	0	0	53	0	0	0	63
0	0	57	0	0	47	47	47	0	0	65	0	61	0	0	66	0	0	0	0	0	0	0	67	0
0	0	57	0	0	47	0	47	47	0	0	61	61	0	66	66	66	0	70	0	0	67	67	67	67
0	72	0	47	47	47	47	0	0	0	0	61	0	0	66	66	66	0	70	0	67	67	0	0	67
0	0	75	0	0	0	0	0	76	76	0	61	0	0	0	66	66	66	0	67	67	67	0	0	67
