21	7.884	7.52117012172973
28	9.19	8.828589921386088
39	11.108	10.739273718459735
54	13.367	13.00984242794662
75	15.984	15.63355365871752
103	18.902	18.54508021012581
143	22.425	22.05824109034988
198	26.569	26.204236298736127
275	31.624	31.271136851735978
381	37.544	37.19978494561494
528	44.474	44.12842621259
732	52.643	52.291911420409946
1015	62.263	61.91287426698909
1407	73.385	73.0401533404743
1951	86.787	86.44800749583533
2706	102.418	102.09004848661793
3751	121.062	120.73673840219472
5202	142.68	142.3434930019634
7212	168.163	167.8296338552879
10001	198.685	198.35696609900043
