beta,mean energy,mean mag,mean sq energy,mean sq mag,corr len
0.722,-1534.9320000000216,0.9996523437499494,2.356029648000056e6,0.9993062286376426,0.0
0.724,-1535.0700000000224,0.9996972656249485,2.3564509200000567e6,0.9993957901000448,0.0
0.726,-1534.9840000000222,0.9996679687499487,2.3561887360000587e6,0.9993374328612752,0.0
0.728,-1272.5399999999975,0.0028007812499999452,1.6194223519999953e6,1.892089843749958e-5,6.314811151059664e18
0.73,-1535.0220000000227,0.9996816406249488,2.3563044720000573e6,0.9993646469115682,0.0
0.732,-1535.1160000000223,0.9997109374999483,2.356591120000058e6,0.9994230346679156,0.0
0.734,-1272.915999999999,0.0026113281249999587,1.6203804479999922e6,1.7601013183593407e-5,6.314811151059664e18
0.736,-1272.5959999999984,0.00275781249999995,1.6195667679999934e6,1.9104003906249607e-5,0.0
0.738,-1535.1140000000225,0.9997109374999484,2.356585352000057e6,0.9994230651854937,0.0
0.74,-1535.224000000024,0.999746093749948,2.3569224640000598e6,0.9994933013915483,0.0
0.742,-1535.0480000000214,0.9996894531249485,2.356383920000057e6,0.9993802413939898,0.0
0.744,-1535.1500000000226,0.9997226562499477,2.3566955120000564e6,0.9994464569091265,0.0
0.746,-1535.1640000000232,0.9997265624999484,2.356738576000056e6,0.9994542846679156,0.0
0.748,-1535.2440000000233,0.9997539062499479,2.3569830720000574e6,0.9995088195800248,0.0
0.75,-1535.2280000000237,0.9997480468749486,2.356935008000059e6,0.9994972305297322,0.0
0.752,-1535.1540000000227,0.9997246093749481,2.356708104000058e6,0.9994503860473101,0.0
0.754,-1535.3620000000253,0.9997910156249473,2.3573444560000594e6,0.9995829391478956,0.0
0.756,-1535.2220000000234,0.9997460937499478,2.356915976000059e6,0.9994932556151811,0.0
0.758,-1535.2940000000237,0.9997695312499475,2.357136008000059e6,0.9995400085448684,0.0
0.76,-1535.3100000000245,0.9997753906249476,2.3571854640000598e6,0.9995517501830522,0.0
0.762,-1535.346000000024,0.9997871093749479,2.357295336000058e6,0.9995751113891067,0.0
0.764,-1535.3160000000241,0.9997773437499475,2.3572033920000587e6,0.9995556030272902,0.0
0.766,-1274.4400000000019,0.2499355468749922,1.6242446239999856e6,0.062481101989744506,6.314811151059664e18
0.768,-1535.4620000000255,0.9998242187499472,2.3576499440000597e6,0.9996491546630323,0.0
0.77,-1274.668000000003,0.0021269531249999882,1.6248241279999863e6,1.2611389160156055e-5,6.314811151059664e18
0.772,-1535.4780000000255,0.9998300781249472,2.3576989680000604e6,0.9996608505248484,0.0
0.774,-1535.4360000000263,0.9998164062499466,2.357570736000061e6,0.9996335906981886,0.0
0.776,-1535.4000000000244,0.9998046874999477,2.3574601440000604e6,0.9996101531981885,0.0
0.778,-1535.5200000000257,0.9998437499999467,2.35782734400006e6,0.9996881256102976,0.0
0.78,-1535.4740000000256,0.9998281249999469,2.3576868080000603e6,0.9996569671630322,0.0
0.782,-1535.5000000000261,0.9998359374999468,2.3577663040000605e6,0.999672561645454,0.0
0.784,-1535.5260000000253,0.999845703124947,2.357845560000061e6,0.999692008972114,0.0
0.786,-1535.4900000000252,0.9998339843749472,2.357735544000061e6,0.9996686325072704,0.0
0.788,-1535.538000000026,0.9998496093749469,2.3578825680000614e6,0.9996998367309031,0.0
0.79,-1535.6400000000265,0.9998828124999467,2.3581945440000608e6,0.9997660980224069,0.0
0.792,-1535.5800000000263,0.9998632812499465,2.3580108000000613e6,0.9997270965575632,0.0
0.794,-1535.5680000000268,0.9998593749999465,2.357974224000062e6,0.9997193145751413,0.0
0.796,-1535.5460000000257,0.9998515624999469,2.357907128000061e6,0.9997037506102977,0.0
0.798,-1535.5260000000262,0.9998457031249467,2.35784599200006e6,0.9996920547484813,0.0
0.8,-1535.5580000000261,0.9998554687499469,2.357943704000062e6,0.9997115325927195,0.0
0.802,-1535.5680000000261,0.9998593749999464,2.3579745120000616e6,0.9997193450927194,0.0
0.804,-1535.5860000000266,0.9998652343749463,2.3580293040000615e6,0.9997310104369577,0.0
0.806,-1535.5080000000255,0.9998398437499469,2.357790480000061e6,0.9996803131102976,0.0
0.808,-1535.5800000000265,0.999863281249947,2.3580110880000605e6,0.9997271270751414,0.0
0.81,-1535.6480000000272,0.9998847656249467,2.3582189600000624e6,0.9997699966430122,0.0
0.812,-1535.6460000000268,0.9998847656249464,2.358212760000062e6,0.9997699813842232,0.0
0.8140000000000001,-1276.4420000000073,0.0015351562500000011,1.629334791999973e6,9.536743164062424e-6,0.0
0.8160000000000001,-1535.6220000000262,0.9998769531249466,2.358139320000061e6,0.9997543869018014,0.0
0.8180000000000001,-1535.6540000000273,0.9998867187499464,2.3582373200000636e6,0.9997738952636177,0.0
0.8200000000000001,-1276.5720000000078,0.24999609374999074,1.6296667519999756e6,0.06250592041015433,6.314811151059664e18
0.8220000000000001,-1535.6540000000266,0.9998867187499468,2.358237464000062e6,0.9997739105224068,0.0
