beta,mean energy,mean mag,mean sq energy,mean sq mag,corr len
0.568,-12232.068000000025,0.997700439453123,1.4962414208000034e8,0.9954072965383665,0.0
0.57,-12234.388000000052,0.997795654296874,1.496809408800006e8,0.9955973538160462,0.0
0.572,-12233.96800000005,0.9977768554687476,1.496706329600002e8,0.9955597937107209,0.0
0.574,-12235.17400000006,0.9978259277343741,1.4970012127200052e8,0.9956576808691173,0.0
0.576,-12237.194000000049,0.9979091796874967,1.4974955431200036e8,0.9958238301277269,0.0
0.578,-12238.10000000006,0.9979489746093712,1.4977166747200048e8,0.9959031459093252,0.0
0.58,-12239.454000000058,0.9980053710937479,1.4980481978400046e8,0.9960157270431662,0.0
0.582,-11117.047999999999,0.12480590820312443,1.2359030918399939e8,0.015585679411888138,1521.4770823471763
0.584,-12242.166000000067,0.9981169433593703,1.4987120868000057e8,0.9962384296655792,0.0
0.586,-12243.666000000061,0.9981784667968708,1.4990790276000077e8,0.9963611871004249,0.5123812481520199
0.588,-12244.648000000057,0.9982209472656202,1.499319090080008e8,0.9964459246397166,0.0
0.59,-12244.520000000071,0.9982138671874978,1.4992883177600098e8,0.9964318888187533,0.0
0.592,-12245.20000000008,0.9982421874999963,1.4994543785600084e8,0.9964883475303769,0.0
0.594,-12247.800000000061,0.998350341796869,1.5000911542400077e8,0.9967042766809593,0.0
0.596,-12248.23800000006,0.998370605468745,1.5001982727200082e8,0.9967447063923015,0.0
0.598,-12248.700000000064,0.9983872070312448,1.500310993440006e8,0.9967777812481063,0.0
0.6,-12250.066000000072,0.9984428710937435,1.500645848400007e8,0.9968889646530258,0.0
0.602,-12251.402000000066,0.9984980468749955,1.500973032400013e8,0.9969991221428065,0.0
0.604,-11147.095999999996,0.12472851562499936,1.2425897148800024e8,0.01556355166435242,0.8170772392010562
0.606,-12253.238000000094,0.998577148437494,1.5014229690400097e8,0.9971570925712672,0.0
0.608,-12253.468000000057,0.9985842285156185,1.501479165600012e8,0.9971712082624539,0.0
0.61,-12254.378000000039,0.9986208496093675,1.5017019482400107e8,0.9972443093061567,0.0
0.612,-12254.67600000009,0.998634277343742,1.5017747936000103e8,0.9972710938453772,0.0
0.614,-12255.722000000073,0.9986760253906168,1.5020311242400095e8,0.9973544696569561,0.0
0.616,-11158.791999999978,0.12486694335937419,1.2451967960000038e8,0.015597266316413864,-2.0583766022194335e18
0.618,-12256.882000000047,0.9987233886718653,1.5023153104800123e8,0.9974490469694224,0.0
0.62,-12257.872000000101,0.9987653808593675,1.502558001920011e8,0.9975329233408042,0.0
0.622,-12258.88200000005,0.998807128906241,1.5028053351200104e8,0.9976162672042946,0.0
0.624,-12259.52800000009,0.9988332519531171,1.5029637780800098e8,0.9976684643030233,0.0
0.626,-12260.594000000076,0.9988774414062404,1.503225009040014e8,0.9977567107677501,0.0
0.628,-12261.062000000094,0.9988959960937402,1.5033397549600118e8,0.9977937781810808,0.0
0.63,-12262.146000000113,0.9989421386718643,1.5036053944800115e8,0.9978859299421324,0.0
0.632,-12262.16200000009,0.9989394531249899,1.503609287440014e8,0.9978805632591286,0.0
0.634,-12263.270000000102,0.9989870605468665,1.503881051280012e8,0.997975680947305,0.0
0.636,-12263.558000000108,0.9989997558593656,1.5039514541600135e8,0.998001002430918,0.0
0.638,-11180.80399999994,0.12491723632812404,1.2501114673600076e8,0.015608454823493925,8341.16648256258
0.64,-12264.194000000083,0.9990253906249891,1.504107488080012e8,0.9980522284507761,0.0
0.642,-12264.516000000085,0.9990390624999871,1.5041863707200116e8,0.9980795295238488,0.0
0.644,-12265.182000000108,0.9990654296874902,1.504349510800014e8,0.9981321749687192,0.0
0.646,-12266.082000000124,0.9991027832031125,1.5045702144800147e8,0.9982068010568564,0.0
0.648,-12267.350000000113,0.9991555175781126,1.5048812210400137e8,0.9983121632337532,0.0
0.65,-12267.280000000124,0.9991528320312363,1.5048642582400125e8,0.9983068320751143,0.0
0.652,-12267.730000000138,0.9991696777343626,1.5049745024800083e8,0.9983404701948108,0.0
0.654,-12268.326000000105,0.99919506835936,1.5051206192800167e8,0.9983911885023059,0.0
0.656,-12269.096000000103,0.9992258300781104,1.5053094651200148e8,0.9984526497125563,0.0
0.658,-12269.608000000111,0.9992473144531103,1.5054350363200128e8,0.9984955729246062,0.0
0.66,-12269.688000000138,0.9992509765624852,1.5054546638400134e8,0.998502890110007,0.0
0.662,-12269.716000000142,0.9992521972656108,1.5054614766400123e8,0.9985053192376998,0.0
0.664,-12270.380000000147,0.9992792968749837,1.5056242740800127e8,0.9985594542026426,0.0
0.666,-12270.424000000135,0.9992812499999855,1.5056351956800127e8,0.998563378572454,0.0
0.668,-12271.10800000015,0.9993090820312338,1.505803048960014e8,0.9986190009117003,0.0
