beta,mean energy,mean mag,mean sq energy,mean sq mag,corr len
0.1,-1281.9120000000032,0.018557128906250105,1.6572357280000022e6,0.0005499923229217534,0.0
0.114,-1482.1320000000023,0.019704833984375135,2.2117232799999937e6,0.0005996233224868796,0.0
0.128,-1686.335999999995,0.02180102539062505,2.858562416000005e6,0.0007346986532211303,0.0
0.142,-1909.604000000002,0.023973632812500097,3.6627902559999996e6,0.0009051306247711202,0.0
0.156,-2140.6379999999995,0.026463378906250123,4.599938616000012e6,0.0011075217723846456,0.0
0.17,-2410.5240000000026,0.03181762695312503,5.829587376000001e6,0.0016065660715103166,0.0
0.184,-2700.7940000000026,0.03820507812500005,7.316305959999995e6,0.002298975944519046,0.0
0.198,-3050.083999999999,0.05183325195312503,9.330605904000005e6,0.004118899464607242,0.0
0.212,-3524.344000000003,0.09264233398437503,1.246238364800001e7,0.012721071124076855,1.328499302085675
0.226,-5015.8739999999925,0.442347412109374,2.533658957599998e7,0.20362031161785138,0.8717389653716842
0.24,-6880.288000000005,0.6736550292968754,4.743925876799992e7,0.4547455662488934,0.0
0.254,-8131.219999999998,0.7739113769531244,6.618689388799998e7,0.5993255192041401,0.0
0.268,-9019.579999999994,0.8330068359375007,8.140746323199996e7,0.6941253819465629,0.0
0.282,-9673.804000000006,0.8719133300781245,9.362527284800015e7,0.7603771754503243,0.0
0.296,-10185.578000000016,0.9002033691406269,1.03777784984e8,0.8104603973627108,0.0
0.31,-10593.953999999992,0.9216552734374998,1.1225481047199999e8,0.8495100584030166,0.0
0.324,-10907.158000000027,0.9373583984374985,1.18986610936e8,0.8786927766799904,0.0
0.338,-11162.800000000007,0.9497617187500023,1.2462335196800022e8,0.9020827560424727,0.0
0.352,-11361.95,0.9591936035156271,1.2910659055200003e8,0.9200808809995674,0.0
0.366,-11520.232000000002,0.9665273437500017,1.3272607068799953e8,0.934197256565099,0.0
0.38,-11657.698000000011,0.9727551269531252,1.3591067655200005e8,0.9462705711126339,0.0
0.394,-11764.256000000005,0.9775510253906255,1.3840491313600042e8,0.9556203705072389,0.0
0.408,-11854.395999999988,0.9815324707031251,1.405320993919997e8,0.9634166463613553,0.0
0.422,-11931.279999999993,0.984882324218749,1.4236013347199973e8,0.9700023629665413,0.0
0.436,-11990.72199999997,0.9874804687499954,1.437813726639991e8,0.9751251025199938,0.0
0.45,-12039.89800000001,0.9895895996093739,1.449622726159995e8,0.9792933808565238,0.0
0.464,-12082.804000000018,0.9914130859374999,1.4599667769599918e8,0.9829045221805669,0.0
0.478,-12114.142000000058,0.9927612304687505,1.467546945679996e8,0.985578951358801,0.0
0.492,-12142.110000000024,0.9939362792968774,1.4743256703199986e8,0.9879124380350136,0.0
0.506,-12165.824000000062,0.9949353027343779,1.4800876748799968e8,0.9898989180326463,0.0
0.52,-10979.34,0.004144775390624995,1.2054897500799997e8,2.980005741119376e-5,0.39782284632592696
0.534,-12201.94200000002,0.9964477539062543,1.4888843159199998e8,0.9929099473953296,0.0
0.548,-11049.780000000044,0.24892822265624887,1.2209991614399941e8,0.061984580516815005,1.2462708900002457
0.562,-12225.800000000034,0.9974375000000001,1.4947095260799992e8,0.9948829019069766,0.0
0.576,-12238.140000000056,0.9979504394531239,1.4977267000000045e8,0.9959061075449137,0.0
0.59,-12245.07400000004,0.9982370605468697,1.4994235482400057e8,0.996478115916266,0.0
0.604,-12252.034000000069,0.9985266113281178,1.501128007440008e8,0.9970561808347829,0.0
0.618,-11160.887999999979,0.0018339843749999843,1.2456646620800036e8,5.4302215576171375e-6,16838.494964123118
0.632,-12262.640000000121,0.998961914062491,1.5037265163200128e8,0.997925434589388,0.0
0.646,-12266.340000000098,0.9991130371093624,1.504633533440014e8,0.9982272943258271,0.0
0.66,-12269.738000000118,0.9992519531249855,1.5054668719200146e8,0.9985048334598439,0.0
0.674,-12272.302000000165,0.9993579101562325,1.5060959784800154e8,0.9987165737151932,0.0
0.688,-12274.932000000208,0.999466064453106,1.5067412275200167e8,0.9989326947927266,0.0
0.702,-12276.664000000217,0.9995368652343565,1.5071660544000137e8,0.9990741575956095,0.0
0.716,-11225.749999999987,0.0009528808593749743,1.2601782274400048e8,1.5853643417358195e-6,0.2683840304263239
0.73,-12280.106000000227,0.9996782226562214,1.5080110076000214e8,0.9993567109107614,0.0
0.744,-12281.46800000025,0.9997331542968445,1.5083453620800233e8,0.9994665144681544,0.0
0.758,-12282.33000000025,0.9997690429687159,1.5085569813600254e8,0.999538252115208,0.0
0.772,-12283.302000000282,0.9998085937499648,1.5087956589600265e8,0.9996173202991051,0.0
0.786,-12284.008000000262,0.9998371582030866,1.5089690046400273e8,0.9996744228600999,0.0
0.8,-12284.770000000266,0.9998681640624596,1.5091561319200304e8,0.999736411094618,0.0
