beta,mean energy,mean mag,mean sq energy,mean sq mag
0.1,-3332.107315998582,0.007798517333984315,1.1137380528180225e7,9.561555966743186e-5
0.114,-3817.9551999984556,0.008086304809569617,1.4611687441505473e7,0.00010262392438957297
0.128,-4311.285503999131,0.008396624877929552,1.862269447572638e7,0.00011081917308281468
0.142,-4814.092767999715,0.008751423217773183,2.3211752847362664e7,0.00012027302022289601
0.156,-5325.78952000107,0.009103383056640237,2.8401105766073845e7,0.0001302879710496198
0.17,-5849.921252002179,0.009528022827148156,3.4259405266629755e7,0.00014270927529038473
0.184,-6386.005339997647,0.009973556518554319,4.0819808842262655e7,0.00015629790420827047
0.198,-6936.292983996837,0.01045711511230442,4.815198416320155e7,0.00017185164622954803
0.212,-7501.797451996995,0.011046798095703152,5.631794861068573e7,0.00019174821460234286
0.226,-8085.6570959971505,0.011648333984375196,6.5420035413999565e7,0.00021283345401271818
0.24,-8687.567283998009,0.012350029418945228,7.551744926769768e7,0.00023953047217408044
0.254,-9310.93112399865,0.013142393798828504,8.673886804875447e7,0.0002709824091194775
0.268,-9958.210555998383,0.014053656005859849,9.921319440031114e7,0.00031032206639642273
0.282,-10631.782140000436,0.015103945312499902,1.130838732578377e8,0.000358682858288307
0.296,-11335.371308001588,0.01636436132812452,1.2854207891752057e8,0.0004202664010823517
0.31,-12072.99922000152,0.01790711621093754,1.4581137068463394e8,0.0005034052298367878
0.324,-12848.81295199715,0.01970669934081968,1.6514903387349164e8,0.0006096405505386545
0.338,-13669.667831997749,0.02201707714843714,1.8692028151950464e8,0.0007603744460042105
0.352,-14543.277595998074,0.025116683593749717,2.115713075498093e8,0.000990197790324137
0.366,-15479.336255998365,0.02909619946288995,2.396794786284866e8,0.0013274813656207177
0.38,-16491.62898399957,0.034950342529294354,2.720494666421629e8,0.0019189815140663727
0.394,-17606.165000000365,0.043848555175776294,3.100606703955142e8,0.0030109288100883536
0.408,-18856.18858800044,0.05997469677733829,3.55651172250664e8,0.00560698902914045
0.422,-20313.670703999782,0.09820875683592953,4.127595332026975e8,0.01489696141471889
0.436,-22271.314176002612,0.3215261602783224,4.962031580002313e8,0.1344087209652778
0.45,-24790.935548000627,0.749491277465833,6.147207856186982e8,0.5630456802322141
0.464,-26277.15527599486,0.8316276567381619,6.905774239430932e8,0.6918663454461051
0.478,-27355.04070799545,0.8730086070556038,7.483655534079221e8,0.762256468240521
0.492,-28195.809447995183,0.8997631522216245,7.950572447783159e8,0.809635732032691
0.506,-28871.899895997693,0.9187187984619194,8.336301977345791e8,0.8440833577536244
0.52,-29427.802447999118,0.9329857398682619,8.660317203989351e8,0.8704891827622944
0.534,-29890.723084000343,0.9440583322753393,8.934855677897252e8,0.8912654127283818
0.548,-30278.83276399439,0.9528375993651953,9.168331887981526e8,0.907913901842182
0.562,-30607.691668004634,0.9599538540041258,9.368524452002401e8,0.9215225153548089
0.576,-30887.847524000787,0.9657940760495828,9.54077622201096e8,0.9327669164434604
0.59,-31128.132539994895,0.9706458577877403,9.68976551997566e8,0.9421603719782304
0.604,-31334.470588005417,0.9746997244872864,9.818627199998069e8,0.9500452037070254
0.618,-31512.46930000635,0.9781128903810817,9.93047562876815e8,0.9567094665498825
0.632,-31666.604179995706,0.9810112121583823,1.0027840715505334e9,0.9623868373648102
0.646,-31800.717391991428,0.9834876240237825,1.0112945303332882e9,0.9672511055672773
0.66,-31916.90354399803,0.9855983087166102,1.0186964771043551e9,0.9714067091902983
0.674,-32018.540528003163,0.9874174195547374,1.0251937264827173e9,0.9749954374777534
0.688,-32107.254852012393,0.9889866444082521,1.0308817533419776e9,0.9780965157831385
0.702,-32184.87589600772,0.9903424512946247,1.0358714210416063e9,0.9807798164514614
0.716,-32253.07087601818,0.9915229396979639,1.0402651311547351e9,0.9831191496866695
0.73,-32312.769052007385,0.9925458541252031,1.0441190487016602e9,0.9851484864159981
0.744,-32365.26995197743,0.9934384349344216,1.0475142192695662e9,0.9869209712310871
0.758,-32411.52877198184,0.994217881589808,1.0505102851840589e9,0.9884700989834414
0.772,-32452.27880800918,0.9948999114986687,1.0531531317907274e9,0.9898266196407471
0.786,-32488.130740008986,0.9954961719986,1.0554810484061189e9,0.9910133108084098
0.8,-32519.73317598251,0.9960190595727121,1.0575351713299085e9,0.9920545607412651
