beta,corr len
0.386,2.63836050997845
0.388,2.68299205921588
0.39,2.84162624605209
0.392,2.87021736298955
0.394,3.03732589034694
0.396,3.10527705366007
0.398,3.14389369348984
0.4,3.1914419171904
0.402,3.22246542576659
0.404,3.30396442204801
0.406,3.40840661159841
0.408,3.48161839804574
0.41,3.51837506993512
0.412,3.67139676664559
0.414,3.74862024193485
0.416,3.90040591025431
0.418,3.73318099583539
0.42,3.67307391590402
0.422,3.55711368882022
0.424,3.50759035912471
0.426,3.44890751882714
0.428,3.31083645590701
0.43,3.11774812929403
0.432,3.1315985742991
0.434,2.95766409719271
0.436,2.67025514222864
0.438,2.44069464848499
0.44,2.30405495359767
0.442,2.22620752218941
0.444,2.14013441561706
0.446,1.77514747889586
0.448,1.67490098849122
0.45,1.67163698892282
0.452,1.43581441050137
0.454,1.27724732377575
0.456,1.19527205743026
0.458,1.10095907478608
0.46,1.10006834926213
0.462,0.965955979558351
0.464,0.919806525180921
0.466,0.843669040428736
0.468,0.812447049895141
0.47,0.756758969979062
0.472,0.714689924404996
0.474,0.684085844767424
0.476,0.616059173060693
0.478,0.59353548717335
0.48,0.553913063496979
0.482,0.55242668353349
0.484,0.502526101434873
0.486,0.563207903912608
