beta,corr len
0.386,2.164204564871525
0.388,2.1667265310962347
0.39,1.9412939706996328
0.392,2.322370679670815
0.394,2.157769154222163
0.396,2.0193951199635607
0.398,3.9995182213395646
0.4,2.3875152973301983
0.402,2.0406044464942625
0.404,2.054539491106509
0.406,2.4004115982418597
0.408,2.203692997837365
0.41,1.9011842372342977
0.412,2.334089698423923
0.414,2.238837621888252
0.416,11.096023035435227
0.418,2.2310539510661105
0.42,1.7058306994600498
0.422,2.0320249410151767
0.424,1.5427994924870971
0.426,5.269363498447272
0.428,1.4601791149147234
0.43,1.2296750334056799
0.432,1.30826079256865
0.434,1.7794954743409317
0.436,1.143226862118938
0.438,1.0223921754966911
0.44,1.008741161789307
0.442,1.735152797988728
0.444,1.1843910158639932
0.446,0.9841702946797556
0.448,0.8335060240452554
0.45,0.7104905983518071
0.452,0.7443159422211254
0.454,0.7743501811615
0.456,0.7375670460784076
0.458,0.5990929030563088
0.46,0.58060026483378
0.462,0.5752500323624437
0.464,0.8587059592335202
0.466,0.5137270568559879
0.468,Inf
0.47,0.44967025797632726
0.472,0.46248622825524544
0.474,0.41694409091960133
0.476,0.45561768855748874
0.478,0.38731409001431216
0.48,2.1256025939659384
0.482,0.37662903699260614
0.484,0.3100858738812272
0.486,0.3045082507328606
