beta,corr len
0.372,2.16535072571882
0.374,2.24324399427812
0.376,2.27332927172538
0.378,2.37252952847391
0.38,2.45343992561682
0.382,2.52887648550913
0.384,2.54996350258704
0.386,2.64014150042394
0.388,2.7953537698219
0.39,2.85003412873058
0.392,2.90273621553289
0.394,3.11396174586217
0.396,3.17689936685479
0.398,3.27941715290664
0.4,3.37108286922586
0.402,3.54288664031521
0.404,3.81863733158351
0.406,3.99649282389326
0.408,4.18124575919865
0.41,4.58762020114606
0.412,4.42646126024387
0.414,5.10486995051899
0.416,5.06145965207998
0.418,5.62322701045366
0.42,6.06534375197236
0.422,6.14186109771324
0.424,6.77826053428159
0.426,6.80013367966682
0.428,7.27856055836244
0.43,7.22707396803305
0.432,7.1960514196609
0.434,6.74869687286531
0.436,5.36754892042929
0.438,4.9937394523669
0.44,3.55503534103454
0.442,3.96335136189708
0.444,3.07776797122798
0.446,3.08130556690426
0.448,2.35802231888113
0.45,2.34576625097664
0.452,2.19301355082872
0.454,2.07170285635869
0.456,1.82413552108324
0.458,1.66480408224859
0.46,1.54566683348453
0.462,1.34194863680728
0.464,1.22511292037306
0.466,1.1910312727264
0.468,1.10602240586451
0.47,1.07520999016492
0.472,0.93191385781138
