beta,corr len
0.372,2.192356038386363
0.374,2.2349064536285965
0.376,2.2892850535954588
0.378,2.343354810304515
0.38,2.414719867158129
0.382,2.487893097381122
0.384,2.5840893895328176
0.386,2.662629270178512
0.388,2.756186340506203
0.39,2.841705315024306
0.392,2.9348263758253017
0.394,3.0587216354866897
0.396,3.1824200983403754
0.398,3.3116906976860254
0.4,3.443951072963259
0.402,3.6075043256388204
0.404,3.779523872742215
0.406,3.9852656307458307
0.408,4.174741324145845
0.41,4.426451157553016
0.412,4.677214127664922
0.414,4.97642299742285
0.416,5.3799730654371665
0.418,5.718421932486581
0.42,6.3188372905126
0.422,6.702494919954467
0.424,7.387712177372745
0.426,8.41424696692951
0.428,9.124361870174388
0.43,10.669502969436158
0.432,12.216133246738123
0.434,14.421550565113803
0.436,15.278910968123416
0.438,20.6289422098164
0.44,9.506929456154591
0.442,5.6307554824417325
0.444,15.305036746957512
0.446,5.687679361576581
0.448,3.309079247706717
0.45,2.993651307832404
0.452,2.5437977950873236
0.454,2.088540383433344
0.456,1.992353450379096
0.458,1.8558961485555365
0.46,1.7366184355909053
0.462,1.604617242614992
0.464,1.561961468936209
0.466,1.4617433954829213
0.468,485.4871034554091
0.47,1.3627722181722244
0.472,1.2799371480021597
