beta,corr len
0.1,0.002556713939028348
0.114,0.004297741344879238
0.128,0.00737575504174888
0.142,0.008376143246127982
0.156,0.0166874120359052
0.17,0.02514767319437686
0.184,0.04188403222117165
0.198,0.0675294288598228
0.212,0.1121522593339081
0.226,0.1649004828921954
0.24,0.2792944291422838
0.254,0.39661825691100255
0.268,0.5559137743573619
0.282,0.7246152327974902
0.296,0.9298834224364352
0.31,1.1005576526576664
0.324,1.2807964825417553
0.338,1.4997293753434593
0.352,1.7026379616378713
0.366,1.9679892766913025
0.38,2.4560103304257894
0.394,2.8620119448209214
0.408,3.396547082029167
0.422,3.691921380300092
0.436,2.2535020325532584
0.45,1.3967415277257331
0.464,0.9915433226295364
0.478,0.5788264076956645
0.492,0.40530918704978963
0.506,0.3099673236388376
0.52,0.20992333084677772
0.534,0.1716045640541352
0.548,0.12870203474356165
0.562,0.10437068521414572
0.576,0.09168070587444799
0.59,0.08075308324987072
0.604,0.06375292392302287
0.618,0.049388214719660366
0.632,0.04345414694310435
0.646,0.03650404451496524
0.66,0.032124066959506904
0.674,0.02422173947781456
0.688,0.02080142173893002
0.702,0.018865895846057704
0.716,0.01538980929455581
0.73,0.009701247090546672
0.744,0.008633939893284663
0.758,0.006232999838464841
0.772,0.0052299192527338985
0.786,0.0041415703321091325
0.8,0.003062080453692016
