beta,corr len
0.1,0
0.114,0
0.128,0
0.142,0
0.156,0
0.17,0
0.184,0
0.198,0
0.212,0
0.226,0
0.24,0.00518747895350911
0.254,0.114803561302574
0.268,0.628981391424736
0.282,1.01297340398084
0.296,1.1178215588887
0.31,1.21711503066426
0.324,1.35346221463009
0.338,1.52974230203394
0.352,1.73676352082655
0.366,2.02303365741134
0.38,2.39433688993356
0.394,3.00725664155721
0.408,4.25444858178431
0.422,7.08206701482154
0.436,11.9011499890046
0.45,2.62008680673952
0.464,1.49095994229986
0.478,0.900956386578201
0.492,0.35276948374312
0.506,0.101910957851354
0.52,0.0351235549718828
0.534,0.0090354740192389
0.548,0.0106401603240015
0.562,0
0.576,0
0.59,0
0.604,0
0.618,0.00185061902466505
0.632,0
0.646,0
0.66,0.00176811712897573
0.674,0.00226942921886728
0.688,0
0.702,0
0.716,0
0.73,0
0.744,0
0.758,0
0.772,0
0.786,0
0.8,0
