beta,corr len
0.1,Inf
0.114,Inf
0.128,Inf
0.142,Inf
0.156,Inf
0.17,Inf
0.184,Inf
0.198,Inf
0.212,Inf
0.226,Inf
0.24,Inf
0.254,Inf
0.268,Inf
0.282,Inf
0.296,Inf
0.31,Inf
0.324,Inf
0.338,Inf
0.352,Inf
0.366,Inf
0.38,Inf
0.394,Inf
0.408,Inf
0.422,Inf
0.436,Inf
0.45,Inf
0.464,Inf
0.478,Inf
0.492,Inf
0.506,Inf
0.52,Inf
0.534,Inf
0.548,Inf
0.562,Inf
0.576,Inf
0.59,4.440101590588843e12
0.604,4.1112051764713586e11
0.618,0.016353839349406096
0.632,1.644482070588603e11
0.646,0.009866241055076651
0.66,0.006186357499642297
0.674,4.111205176471178e11
0.688,0.004013163383227108
0.702,0.0036885659001273993
0.716,0.0017555641017135244
0.73,0.0010699581227878088
0.744,0.0009923824132446548
0.758,0.0008461822950830017
0.772,0.000788508580601386
0.786,0.00041800660339375153
0.8,0.0002684209056561636
