beta,corr len
0.1,0
0.114,0
0.128,0
0.142,0
0.156,0
0.17,0
0.184,0
0.198,0
0.212,0
0.226,0
0.24,0
0.254,0
0.268,0.869079039069709
0.282,1.03553303689333
0.296,1.12139349644099
0.31,1.2192365860884
0.324,1.33398696348554
0.338,1.54723668714052
0.352,1.7316784754925
0.366,2.03241051446956
0.38,2.40229605851644
0.394,3.04200222700308
0.408,4.18779463932893
0.422,6.79360009491049
0.436,19.4397801861044
0.45,81.4356584572784
0.464,528.765688995799
0.478,69.1408140405096
0.492,18.0363540244512
0.506,73.6317975048567
0.52,0
0.534,0
0.548,0
0.562,0
0.576,0
0.59,0
0.604,0
0.618,0
0.632,0
0.646,0
0.66,57.4878432496571
0.674,0
0.688,0
0.702,0
0.716,0
0.73,56.1859799808109
0.744,0
0.758,0
0.772,0
0.786,0
0.8,0
