beta,corr len
0.1,0
0.114,0
0.128,0
0.142,0
0.156,0
0.17,0
0.184,0
0.198,0
0.212,0
0.226,0
0.24,0
0.254,0.00904795111498532
0.268,0.726566920053442
0.282,1.0355587238297
0.296,1.12080850915169
0.31,1.21979140181267
0.324,1.33580140464627
0.338,1.53932381413388
0.352,1.73216542190588
0.366,2.03338571570614
0.38,2.40951553703832
0.394,3.05919885964868
0.408,4.16914684310205
0.422,6.80843124660688
0.436,21.7717126030815
0.45,2.57545496886721
0.464,1.50068652831929
0.478,1.13185180829433
0.492,0.335748059897123
0.506,0.0217079692972676
0.52,0.000973536823729923
0.534,0
0.548,0
0.562,0
0.576,0
0.59,0
0.604,0
0.618,0
0.632,0
0.646,0
0.66,0
0.674,0
0.688,0
0.702,0
0.716,0
0.73,0
0.744,0
0.758,0
0.772,0
0.786,0
0.8,0
