beta,mean energy,mean mag,mean sq energy,mean sq mag
0.1,-52.07119199995403,0.06247661718759315,3248.5987200015215,0.00612895379637541
0.114,-59.65995199994511,0.06476229687507891,4106.4744000091,0.006585675048815379
0.128,-67.37711199998625,0.06729507812506504,5095.536672005952,0.0071083082275244375
0.142,-75.20156000004526,0.07001921093754926,6221.949312000655,0.007697049011213943
0.156,-83.18630800006613,0.07295396875003772,7498.464943995383,0.00834406335447169
0.17,-91.43130800004172,0.07630161718752891,8951.685199996205,0.009124062194799974
0.184,-99.77458399998226,0.07990145312501253,10560.530624001522,0.010002085327121633
0.198,-108.44033999991014,0.08388313281250098,12382.294000001877,0.011026544738742919
0.212,-117.2403199998596,0.08821025781249243,14386.80412799767,0.012186536071752081
0.226,-126.32713199984143,0.09329505468748173,16618.980047992103,0.013608587707496888
0.24,-135.72519999989888,0.0990845468749702,19105.15727998578,0.015336838378887156
0.254,-145.46654800000397,0.10547888281246375,21870.26977597622,0.0173604241332775
0.268,-155.60280400010268,0.11288764062495565,24949.064015960164,0.019867132080047686
0.282,-166.18448800018098,0.12146253906244689,28386.443679941414,0.022969978820761756
0.296,-177.08235600017994,0.13153532031247436,32161.379215929333,0.026884347839309618
0.31,-188.59870400014347,0.14403709375001209,36413.427616033565,0.032086932250924266
0.324,-200.82482000009034,0.15923085156256095,41223.867344117425,0.03903956597895506
0.338,-213.73641600005368,0.1785972343750918,46637.03040013441,0.048792107177694936
0.352,-227.66376800004633,0.20370210156261256,52861.20364809687,0.06276714129635994
0.366,-242.71392000003678,0.2374837109376368,60050.43785603182,0.08385609051509652
0.38,-259.81562400002434,0.28506423437507616,68809.53417596429,0.11704656945791223
0.394,-279.7914880000375,0.3524496406250381,79845.0907199242,0.17053205395499668
0.408,-303.87810800010266,0.4463163515624852,94240.89009596246,0.25453295501686696
0.422,-332.7438400001268,0.5645750390625399,112855.55318411841,0.3733872313844946
0.436,-362.54809200008066,0.6789728593751088,133516.8679523042,0.5036127374273227
0.45,-389.249184000028,0.7713945000000375,153241.71302443382,0.6201117368174348
0.464,-410.8352599999652,0.8334166484372776,170127.08107239896,0.7077347449350635
0.478,-427.3657039999581,0.8726653749993518,183696.02064032256,0.7686843200689324
0.492,-440.5557879999325,0.8996909374987874,194925.8671202719,0.8134492794186572
0.506,-451.1623639998624,0.9187822421856455,204228.68555221727,0.8467111052843035
0.52,-459.8006799997015,0.9329473124976275,211980.73894415097,0.8721137609838516
0.534,-467.06622399947577,0.9440566953097611,218621.95961601075,0.8924942023279216
0.548,-473.1009879992699,0.9528451484345705,224222.52363184272,0.9088340426589707
0.562,-478.2789439989589,0.9600123906220224,229088.60009562588,0.9223302141058608
0.576,-482.6077759987165,0.965778273434765,233200.06425543485,0.9332862900939889
0.59,-486.39404799849956,0.970671609372618,236827.28646322733,0.9426481185236637
0.604,-489.5679719983228,0.9746642734356645,239890.54318307157,0.9503322472465153
0.618,-492.3941559981442,0.9781288749989863,242636.23342294648,0.9570324103933613
0.632,-494.8142159980736,0.9810418671874058,245001.19116687909,0.9626885945364969
0.646,-496.9082159980192,0.9835123203134474,247056.94479884984,0.9675016505669577
0.66,-498.6956999980066,0.9855876796895667,248818.82046287358,0.9715561113826696
0.674,-500.30519999806444,0.9874332656281916,250410.8871349377,0.9751696704040834
0.688,-501.67097999817145,0.9889837421917499,251766.6136470486,0.9782125106756151
0.702,-502.88671599827023,0.990344500005255,252976.04939115173,0.9808870928905054
0.716,-503.9535239984376,0.9915208203186491,254040.29707128854,0.9832039603838018
0.73,-504.8818959986737,0.9925413046943963,254968.26543945223,0.9852158926354644
0.744,-505.7037959989,0.9934329843826109,255791.19959961527,0.9869760700653746
0.758,-506.43237999917113,0.9942236328206403,256521.99367978313,0.9885381333595428
0.772,-507.0692639994519,0.9949022578210849,257161.8826559537,0.9898807921737209
0.786,-507.6368399997254,0.9955092031339253,257732.6299841114,0.9910819152823329
0.8,-508.12873600003655,0.9960269765716397,258227.9641282782,0.9921076874387768
