beta,corr len
0.386,2.5964835033252274
0.388,2.718599773201323
0.39,2.817879259412705
0.392,2.898041362775188
0.394,3.082939812241368
0.396,3.1657100173606323
0.398,3.322186062952039
0.4,3.4670154269889744
0.402,3.548461136087918
0.404,3.7170475202238507
0.406,3.956406533987026
0.408,4.480782800061736
0.41,4.4933750310160905
0.412,4.791425923933815
0.414,5.114423061695717
0.416,5.164253073312149
0.418,6.300527044361266
0.42,5.655326395160719
0.422,5.907465672492717
0.424,7.457344360956648
0.426,8.439706019387291
0.428,8.599487813294628
0.43,11.69285057907243
0.432,11.577618592293218
0.434,13.483922357204987
0.436,38.51113061629275
0.438,8.779443305055405
0.44,4.431175872939162
0.442,4.1965044852789255
0.444,7.058190458431874
0.446,4.55886170371628
0.448,2.8143203357535524
0.45,2.9551906002363264
0.452,2.0642064720383955
0.454,2.0632537003276132
0.456,1.9726539379792951
0.458,1.772764371442179
0.46,1.7449727097205086
0.462,1.7450963275187996
0.464,1.4132514385324317
0.466,1.4253878096994865
0.468,1.2318480024199323
0.47,1.2631825345890688
0.472,1.1567404793249245
0.474,1.035882558364575
0.476,1.052352600974612
0.478,0.8712108514329201
0.48,0.8594592513525112
0.482,0.7535182768826227
0.484,0.6850607393403544
0.486,0.6604925704845435
