beta,mean energy,mean mag,mean sq energy,mean sq mag
0.4,-289953.915399994,0.0123003211975099,84074687123.4563,0.000236576099867236
0.402,-292791.238199999,0.0130949775695803,85728136480.1914,0.000269580388742035
0.404,-295705.628600005,0.0136039476013184,87443296424.3164,0.000290061419367556
0.406,-298677.030720005,0.0142774825286868,89209462945.7613,0.000320745449177335
0.408,-301706.234999996,0.0149015325927738,91028181060.235,0.000349675913716196
0.41,-304771.029200001,0.0156333000183107,92886954149.261,0.000384168043793181
0.412,-307943.283920001,0.017331585159302,94830661453.3166,0.000468340767091723
0.414,-311162.275440003,0.0180888763427742,96823614841.9749,0.00050702762242873
0.416,-314497.680679989,0.0189691287231447,98910455149.9491,0.000563624300922951
0.418,-317870.508960003,0.0206054708099371,101043379742.298,0.000658833018277655
0.42,-321395.545920005,0.0217921590423587,103296894081.096,0.000746777062137255
0.422,-325054.379680001,0.0238627382659916,105662190067.87,0.000913604785971683
0.424,-328782.655519999,0.0259254321289071,108099940587.065,0.0010648697152373
0.426,-332610.935360004,0.0297193045043949,110631993601.633,0.00136979847147362
0.428,-336699.871040006,0.0348388677978517,113368841622.716,0.001897822077492
0.43,-340923.21383999,0.0385478776550296,116230791321.016,0.00234846596663813
0.432,-345397.848480001,0.0481520149230953,119301945701.087,0.00362097441613786
0.434,-350106.704280002,0.0631076185607909,122577147943.29,0.00622132546436625
0.436,-355139.975199996,0.0794295306396486,126127128616.46,0.00912459837891968
0.438,-361047.768440016,0.143792509765623,130358436412.287,0.02832206626664
0.44,-367008.17408,0.174637035827638,134698733591.784,0.0490545415698353
0.442,-375773.504119998,0.541652221069334,141210363983.343,0.311641148549895
0.444,-382181.375440003,0.651930170211799,146065608530.117,0.427012555539545
0.446,-386215.088319996,0.555212998504638,149168294108.187,0.358147847089827
0.448,-391867.383479997,0.684297022476196,153563579838.509,0.481579861107708
0.45,-396631.182240007,0.747819832534776,157318449465.826,0.559511478025524
0.452,-400586.701560005,0.760270683441163,160471835003.684,0.579284634950734
0.454,-404436.068239993,0.781366242752073,163570331408.911,0.610576212370444
0.456,-407772.158520002,0.779757750701899,166280278881.684,0.610494951211014
0.458,-409375.480440001,0.799949207000737,167593374090.497,0.380788399409968
0.46,-414482.03044,0.81455702842713,171796902435.77,0.663526116105433
0.462,-417366.201439994,0.810134493942264,174196359685.689,0.658988360780112
0.464,-416464.97547999,0.820437278137207,173444525216.531,0.0186118737791395
0.466,-423197.513880005,0.838828463668806,179097502087.29,0.703649227626594
0.468,-421938.384720004,0.843219726028442,178033316298.149,0.0150957949207322
0.47,-428336.9536,0.848541750946053,183473956280.786,0.720499300801004
0.472,-426952.427319993,0.849292178115848,182289579750.716,0.146246897055788
0.474,-429359.95996,0.851136535644531,184351149284.874,0.149587036834144
0.476,-435340.139400004,0.853507587585447,189522551587.537,0.732350825668166
0.478,-433818.63848001,0.862031858901978,188199691604.322,0.0228075247038724
0.48,-435947.217200012,0.874538171997068,190051032044.292,0.0629425857125796
0.482,-441832.614679999,0.881596821899421,195217073983.632,0.777220764980883
0.484,-443809.544479999,0.884366122283943,196967920135.852,0.782215903846908
0.486,-445748.576560008,0.889531643066391,198692743161.509,0.79127147577745
0.488,-443766.620960002,0.889979668960574,196929734752.136,0.0754499704944768
0.49,-445583.263400007,0.900000673675539,198545341881.235,0.0812905653506901
0.492,-447325.213280011,0.900134079788206,200100710639.891,0.0227048360792215
0.494,-452782.617199991,0.900291313247699,205012988146.082,0.810821061984276
0.496,-450662.651719991,0.908563813171388,203097630490.077,0.0154813506381912
0.498,-456050.487080002,0.908635969009401,207982829018.401,0.825622441754857
0.5,-457589.844360008,0.911330134658805,209389223262.074,0.830525548251968
