beta,mean energy,mean mag,mean sq energy,mean sq mag
0.1,-12.999687999941589,0.12476646874955546,303.54441600126455,0.024448459961009614
0.114,-14.897815999930838,0.12943546874964804,358.39596800130033,0.02627857519538504
0.128,-16.820923999933584,0.13453428124975048,421.46404800133206,0.02839091113288481
0.142,-18.79479199994991,0.14020274999984145,494.63830400133406,0.03077589062506971
0.156,-20.810227999962265,0.14615409374992647,577.9354720013425,0.033433036132855205
0.17,-22.851519999972098,0.15295478125001105,669.8017600018211,0.03649698339844657
0.184,-24.946639999980786,0.16024656250007416,774.0840000025257,0.03994935351561484
0.198,-27.120343999986325,0.1685671250001433,891.7425600035245,0.04416649218747879
0.212,-29.327863999991408,0.17742731250018098,1020.8194240045565,0.048791003906223276
0.226,-31.637639999993723,0.1879997500002586,1167.6100480016737,0.054572638671843775
0.24,-33.97409999999649,0.1993723437502816,1327.0483359989853,0.061119360351536735
0.254,-36.47989599999087,0.21265959375032253,1511.7359999968783,0.06923131542963842
0.268,-39.08489999998394,0.22854075000033103,1718.260079995149,0.07940245898427209
0.282,-41.80631999996489,0.2459947500003392,1949.2715519940875,0.09117519921860155
0.296,-44.73106399994289,0.2669236562502312,2216.8394239954414,0.1063500810544731
0.31,-47.90259199992026,0.29274496875013595,2530.254303998958,0.1260469638668946
0.324,-51.324743999904115,0.32240406250002396,2893.6839040027576,0.15014128710901056
0.338,-55.10760399989285,0.35811921874995284,3325.09396800712,0.18100969433563427
0.352,-59.46370799989471,0.4020901249999458,3862.503408011307,0.2213329511717653
0.366,-64.34342399991343,0.4541903124999775,4505.718912010539,0.2717135058594293
0.38,-69.75647999999386,0.5117861562501002,5272.307904007258,0.3315024580077528
0.394,-75.6761160000541,0.576133218750294,6161.511344004343,0.40150015722638066
0.408,-81.68471600008073,0.6396232812503178,7114.669584000699,0.4745067177730481
0.422,-87.943280000062,0.7041209687501337,8161.607039997444,0.552642842773068
0.436,-93.6405840000205,0.7600936874998907,9161.988960001987,0.6242387910151695
0.45,-98.81589999996596,0.8079489374997166,10109.538832003536,0.6884202167961222
0.464,-103.29846399991091,0.8469234687496723,10963.66998400268,0.7433615166005118
0.478,-107.09165199987447,0.8774979374996785,11712.761871999975,0.7886087499986212
0.492,-110.17695599985919,0.9006301562497414,12342.61940799804,0.8243269599593328
0.506,-112.77627999985171,0.9186332187499474,12887.204927997445,0.8533658271466895
0.52,-114.94665199987634,0.9328133125002173,13353.79063999969,0.8769416347639445
0.534,-116.77951199990775,0.944065687500415,13754.948320003834,0.8962326210921289
0.548,-118.26593199994427,0.9527351875007447,14086.463920009757,0.9114646835923331
0.562,-119.5806759999892,0.9600025937511252,14383.810224017574,0.924495225584746
0.576,-120.63921200004835,0.9656510625014834,14626.386352026446,0.9347782851554529
0.59,-121.58489600010097,0.9705755312519511,14844.993280034587,0.94382453027304
0.604,-122.3976560001479,0.9746765937523428,15034.674848042958,0.9514513818359172
0.618,-123.09060000020388,0.9780928750027732,15197.449920051431,0.9578498144535769
0.632,-123.69987600026049,0.9810311875031662,15341.595504059793,0.9633955468759142
0.646,-124.22732000031313,0.9835120937535877,15467.115744067502,0.9681114130873232
0.66,-124.68941600036376,0.9856497500039652,15577.58828807421,0.9721930996112143
0.674,-125.08084000040978,0.9874590937543286,15671.606944080042,0.9756547861351044
0.688,-125.43295200045952,0.9890532500046687,15756.39132808581,0.9787152460964956
0.702,-125.73610000050415,0.9904080937549787,15829.69419209084,0.9813257646516045
0.716,-125.98732400054097,0.9915203750052477,15890.548688094983,0.9834736132847784
0.73,-126.22260400058806,0.9925499062555482,15947.769488099071,0.9854657158242791
0.744,-126.42761200062493,0.9934468437557797,15997.62449610274,0.9872025498089962
0.758,-126.6155160006609,0.9942534687560154,16043.489296105947,0.9887688798874636
0.772,-126.76610400069033,0.9949032500062025,16080.297664108479,0.9900323300830662
0.786,-126.91480000072303,0.9955304687563973,16116.694784111058,0.9912538740286817
0.8,-127.03180400074483,0.9960286250065444,16145.361360112924,0.9922245800835865
