beta,mean energy,mean mag,mean sq energy,mean sq mag
0.1,-13329.0090639972,0.00390511660766609,177800479.016805,2.39725291179531E-05
0.114,-15271.5476279993,0.00404614538574216,233360053.410612,2.57347940430101E-05
0.128,-17245.5081280005,0.00419453396606451,297549574.618046,2.76548277055917E-05
0.142,-19254.9498759995,0.00437210565185544,370898087.717493,3.00367732606921E-05
0.156,-21304.3478040029,0.00455753036499042,454023194.831033,3.26285137822858E-05
0.17,-23398.7713600054,0.00476403698730474,547654029.919876,3.56313155423776E-05
0.184,-25544.4076519943,0.0049880580444335,652671949.827288,3.90561238620276E-05
0.198,-27745.6065719959,0.00523755554199193,769977903.298391,4.30563954356831E-05
0.212,-30008.1560599988,0.00550994821166988,900653394.596868,4.76887341299753E-05
0.226,-32340.4973680008,0.00581398321533202,1046077070.45483,5.31368178948428E-05
0.24,-34749.123448004,0.00616910690307581,1207676962.22772,5.97989989025151E-05
0.254,-37242.867320004,0.00655314205932604,1387212372.54375,6.74494285275823E-05
0.268,-39831.8363599973,0.00702595919799792,1586763507.77208,7.7479724354082E-05
0.282,-42527.3513919964,0.00756310327148417,1808771995.9496,8.98284571841147E-05
0.296,-45342.2243120001,0.00820045687866155,2056123062.28689,0.000105571251229369
0.31,-48291.4429480045,0.00892400936889594,2332279055.059,0.000125031003740605
0.324,-51396.962275995,0.00988483969116148,2641876040.25161,0.000153218896158916
0.338,-54680.2851879965,0.0110124777526844,2990174478.2678,0.000190699038882646
0.352,-58172.6442240016,0.0125261662292466,3384314812.21366,0.000246763526723598
0.366,-61915.7517600053,0.0145462160949695,3833839035.99447,0.000332086435611401
0.38,-65972.0529519968,0.0174124008789066,4352613481.9864,0.000476352045107784
0.394,-70423.9917440005,0.0219058455200186,4959874443.16204,0.000753288022443449
0.408,-75425.6234519947,0.0299668363952628,5689407487.59586,0.00141032101816025
0.422,-81248.560179999,0.0478403270568902,6601791107.88059,0.00360148826036871
0.436,-88807.7221240014,0.165538955718998,7887488960.47022,0.0405611375612699
0.45,-99158.6190879952,0.749183152038559,9832956157.68351,0.561619566378187
0.464,-105107.628084001,0.831563706848192,11047967651.9392,0.691563728848716
0.478,-109420.114088006,0.87300624020394,11973031205.5498,0.76216789471403
0.492,-112782.69210797,0.89975383999631,12720150000.8498,0.809572460776393
0.506,-115490.416251965,0.918758971862978,13338211355.1909,0.84412785595544
0.52,-117711.632064014,0.932983505981522,13856172404.5155,0.87046490026532
0.534,-119561.442436018,0.944046734924273,14295059354.7687,0.891229057022317
0.548,-121022.181439967,0.953065764984076,14646624832.2917,0.910871933220645
0.562,-122430.528096021,0.959955033722189,14989320937.9995,0.921516448850532
0.576,-123551.98379202,0.965797955352455,15265166845.618,0.932767880670525
0.59,-124511.541575973,0.970640492126058,15503187515.3259,0.942144711050883
0.604,-125337.010328024,0.974694166442772,15709420847.0992,0.950030132195117
0.618,-126049.783800036,0.978113766540799,15888595336.6838,0.956707700396714
0.632,-126666.830271946,0.981013574768317,16044526890.5036,0.962388593018782
0.646,-127201.919255959,0.983482828949351,16180363868.9355,0.967239274143786
0.66,-127667.959083981,0.985599184814636,16299138935.36,0.971406428237307
0.674,-128074.399376018,0.987419241607167,16403078924.4634,0.974997327630842
0.688,-128429.126116039,0.988986492766922,16494064142.5137,0.978094765532364
0.702,-128740.142868041,0.990345963775322,16574045123.2643,0.980785539417639
0.716,-129012.053572056,0.9915216450192,16644128174.7834,0.983115525372031
0.73,-129251.000167993,0.992545423003803,16705837041.4184,0.985146719955388
0.744,-129461.16348794,0.993438079162195,16760206919.5946,0.986919478786743
0.758,-129646.180031947,0.994217904296685,16808144387.087,0.98846946761713
0.772,-129363.472667964,0.995158990234161,16734959736.1044,0.990103993484461
0.786,-129841.434415948,0.995750189880414,16858808251.5218,0.991489709951036
0.8,-130079.285051948,0.996020259490437,16920628901.7363,0.992056505911926
