beta,corr len
0.1,0.0
0.114,0.0
0.128,0.0
0.142,0.0
0.156,0.0
0.17,0.0
0.184,0.0
0.198,0.0
0.212,0.006447187781252887
0.226,0.03611587832239167
0.24,0.10333991956101016
0.254,0.2661795217425262
0.268,0.5502013610367528
0.282,0.8622915670384116
0.296,1.0816698295587885
0.31,1.2092630879718493
0.324,1.3429329468987772
0.338,1.528149454669361
0.352,1.7112677857636858
0.366,2.0272036168035474
0.38,2.4008293998373538
0.394,3.150618202178335
0.408,4.73463609077289
0.422,4.798240260476998
0.436,3.7638084499611995
0.45,2.2949463741063387
0.464,1.2783893792499172
0.478,0.8335307095289161
0.492,0.48909822558464794
0.506,0.2778685420566084
0.52,0.23884233651793646
0.534,0.10959882212333014
0.548,0.09042024059793968
0.562,0.03337273178652515
0.576,0.02461440944980154
0.59,0.028387522545544618
0.604,0.03171851013057589
0.618,0.021563049244569525
0.632,0.017258291599371013
0.646,0.00877989106930693
0.66,0.010637651586280824
0.674,0.005101718500752968
0.688,0.011093178279332967
0.702,0.0036866664789680223
0.716,0.011336685780168419
0.73,0.009233939048356198
0.744,0.005045449509353235
0.758,0.01162041222978988
0.772,0.0033407330770859477
0.786,0.004793497393415567
0.8,0.007066737263204034
