beta,mean energy,mean mag,mean sq energy,mean sq mag
0.1,-208.207044000106,0.031183949218736948,45500.95233610157,0.001528065742490123
0.114,-238.61140400004916,0.032360917968741125,59116.76644807154,0.0016461003799410866
0.128,-269.5571080000235,0.03362028124999787,74883.5837919578,0.0017763127517670349
0.142,-300.83466800005107,0.03494666601562709,92766.40561596985,0.0019186174812284293
0.156,-332.8853920000805,0.036442910156253866,113123.70480013592,0.002087370132443084
0.17,-365.7193360000863,0.038156425781260085,136118.01657633,0.002284714927670171
0.184,-399.176895999994,0.03988770703126598,161764.0256964374,0.002496801826474177
0.198,-433.53565999983124,0.04180466601564438,190446.8516642673,0.0027463649787874576
0.212,-468.9178599996992,0.044045589843770994,222448.22801591383,0.003048046340939791
0.226,-505.3418719997438,0.04660437109377741,258008.0596475426,0.0034084950103737623
0.24,-542.9882079999439,0.049434685546905666,297574.8083190532,0.0038317976798994094
0.254,-581.8454440000787,0.05261857226565724,341375.19281476294,0.004340248485563445
0.268,-622.441331999982,0.05620785351565998,390374.988943254,0.004952704364774717
0.282,-664.5955239998852,0.060550960937537104,444765.3049123358,0.0057461162338226365
0.296,-708.4705039998765,0.0658148906250316,505143.0221771206,0.006775961608882394
0.31,-754.5534199996894,0.07180973046877169,572731.1892013575,0.00806834254455068
0.324,-803.0053079994101,0.07913874218751508,648372.7499050222,0.009780822097775154
0.338,-854.4571199995248,0.08844391210938157,733871.2962239356,0.012209338016508586
0.352,-909.0631239997488,0.10071755273437234,830424.9703511596,0.015784625530242877
0.366,-967.1858799996191,0.11680138671874644,939780.98847909,0.021142625114456443
0.38,-1030.6306719996398,0.14016394335936533,1.0669451788475106e6,0.030261792446165506
0.394,-1100.9428999999495,0.17765228906249889,1.2173934487504235e6,0.04783641954037572
0.408,-1182.0903559999383,0.24496994335937183,1.4036866252920202e6,0.08716550279615386
0.422,-1284.8554000001518,0.37572436132809633,1.6594711751658297e6,0.18504573681253736
0.436,-1421.0870440001838,0.5877119960937021,2.0296723241469003e6,0.38494437026977585
0.45,-1551.150855999433,0.7550766093747844,2.4138176950126844e6,0.5835700277178772
0.464,-1642.104715999291,0.8312253476559132,2.702059333362708e6,0.6952184774022754
0.478,-1709.6626839990522,0.8728199609373039,2.927172842897255e6,0.7636940521090113
0.492,-1762.2629559990487,0.8997750351560095,3.1089237903866526e6,0.8105889730143087
0.506,-1804.4880079995014,0.9187200527333753,3.258904250498559e6,0.8446710876952361
0.52,-1839.1220440000484,0.9329238867176678,3.3846308595667197e6,0.8707771022562825
0.534,-1868.16171599975,0.9440558085942191,3.491914680394972e6,0.8915505373224721
0.548,-1892.440755998106,0.9528563359395045,3.5829213035310893e6,0.9081652739321108
0.562,-1913.0114439971098,0.9599739960953778,3.6609654520769343e6,0.9217277320000957
0.576,-1930.4608079985899,0.9657711386711224,3.727836754461794e6,0.9328541793758331
0.59,-1945.5658320014327,0.9706661445272569,3.786216539772537e6,0.9423039711582224
0.604,-1958.400352002931,0.9747013183525867,3.836185814169387e6,0.9501330534989402
0.618,-1969.5227120017075,0.9781103105385518,3.879760123158741e6,0.9567740933937581
0.632,-1979.1983479980127,0.981023277335356,3.91786728797349e6,0.9624680740197193
0.646,-1987.57558399331,0.9834957206960507,3.951013893366e6,0.9673150111885986
0.66,-1994.8510599890649,0.9856093671828869,3.97991501261589e6,0.9714687974936973
0.674,-2001.1452599862027,0.9874128593734867,4.0050050097387675e6,0.975020425828186
0.688,-2006.7221879851345,0.9889911093768221,4.0273045168139306e6,0.978134327744888
0.702,-2011.5430559858628,0.9903406171926293,4.0466302635856117e6,0.9808009119581543
0.716,-2015.8250239880479,0.9915249238361032,4.0638351737651182e6,0.9831442487005385
0.73,-2019.5584519914894,0.9925488711039782,4.0788660998006924e6,0.9851726515973191
0.744,-2022.8204679956646,0.9934336992306066,4.092022521692621e6,0.9869272976695378
0.758,-2025.70144000007,0.99421150587234,4.1036600339363273e6,0.9884710278368036
0.772,-2028.2610640044907,0.9948982910291694,4.1140135402438133e6,0.9898351678285333
0.786,-2030.500848008634,0.9954935566544139,4.123084311447372e6,0.9910183651093553
0.8,-2032.501328012317,0.9960235547013025,4.131193987322959e6,0.9920723858039792
