4	5	5	6	6	7	7	8	9	10	10	10	11	12	12	12	14	16	18	20	21	22	23	27	29	31	36	38	41	44	46	52	56	59	64	71	74	81	90	95	103	113	123	133	144	155	168	181	196	211	228	246	264	289	311	339	368	399	429	464	502	541	587	631	682	735	793	856	927	997	1077	1159	1254	1354	1463	1581	1709	1845	1993	2152	2325	2512	2711	2925	3160	3416	3687	3981	4298	4639	5013	5406	5841	6310	6817	7363	7949	8575	9267	10003
5	5	6	6	6	6	8	8	9	9	10	10	11	12	12	12	14	16	18	20	20	22	22	26	28	31	35	39	40	43	46	50	55	59	64	71	74	81	89	95	104	113	122	131	143	155	169	180	195	211	229	246	265	288	311	340	367	399	429	464	503	540	586	631	682	735	793	857	926	998	1077	1159	1254	1353	1463	1580	1709	1843	1993	2152	2325	2512	2711	2925	3160	3417	3686	3981	4299	4638	5012	5407	5841	6310	6817	7363	7948	8575	9267	10004
4	4	5	5	5	5	7	8	8	9	10	11	12	13	14	14	15	16	18	19	20	22	23	27	27	31	34	38	40	44	46	50	54	58	64	71	73	81	89	95	103	112	123	132	142	154	168	180	196	211	229	246	267	288	311	341	367	398	429	465	502	540	586	631	682	735	792	856	924	997	1077	1159	1254	1352	1463	1581	1710	1843	1992	2152	2324	2511	2711	2924	3160	3418	3686	3979	4298	4640	5011	5408	5843	6310	6816	7364	7948	8576	9267	10003
5	5	5	5	6	6	6	8	8	8	10	11	12	13	14	15	15	16	18	20	21	23	25	26	28	31	34	38	41	45	47	50	53	59	64	71	74	81	89	96	103	111	122	131	143	154	168	179	195	211	229	247	268	288	311	341	367	397	429	465	502	541	586	630	681	735	792	856	924	998	1076	1159	1253	1352	1462	1582	1709	1843	1992	2152	2324	2509	2710	2924	3159	3417	3687	3979	4297	4640	5011	5409	5843	6310	6815	7363	7949	8576	9265	10002
4	4	5	5	5	5	6	7	8	9	10	10	12	14	15	15	16	17	18	20	21	22	26	27	29	32	34	37	41	44	46	49	53	58	64	70	75	81	88	97	104	111	122	130	142	154	167	180	194	212	228	247	268	289	312	341	368	396	431	466	502	541	586	630	680	735	791	854	924	997	1075	1160	1252	1351	1461	1581	1708	1844	1992	2153	2324	2509	2709	2923	3159	3416	3687	3978	4297	4640	5010	5408	5843	6310	6814	7363	7949	8576	9265	10003
4	4	4	6	6	6	6	7	8	9	10	11	13	13	15	15	17	17	18	21	22	24	26	27	30	32	34	36	40	43	46	50	54	58	64	69	76	81	88	97	104	111	121	128	142	155	167	181	194	211	228	247	267	289	314	340	368	396	432	466	503	540	586	629	682	736	792	853	924	996	1076	1160	1252	1351	1461	1581	1708	1844	1992	2153	2323	2508	2708	2923	3158	3416	3686	3978	4297	4640	5010	5408	5843	6311	6814	7362	7948	8578	9266	10005
4	4	5	6	7	7	7	7	7	10	10	12	12	14	15	15	16	17	19	20	21	24	27	28	30	31	34	36	40	43	45	49	55	58	64	68	77	83	88	97	104	111	120	131	141	156	168	180	195	212	229	246	268	289	314	340	368	396	432	465	504	541	586	630	682	735	791	852	922	996	1075	1161	1250	1352	1462	1580	1707	1844	1993	2153	2323	2508	2708	2923	3158	3415	3686	3978	4298	4639	5010	5408	5844	6311	6815	7362	7949	8578	9265	10006
4	5	6	6	7	7	7	8	8	10	11	11	11	13	14	14	17	17	18	20	21	24	26	27	29	31	33	35	39	42	45	49	55	58	63	69	76	83	89	96	104	111	120	131	141	156	169	181	194	212	228	247	269	289	313	340	368	396	431	466	504	540	585	631	682	735	791	853	921	996	1074	1160	1249	1352	1462	1581	1707	1844	1994	2153	2322	2508	2707	2922	3157	3416	3686	3979	4298	4638	5010	5407	5845	6311	6816	7361	7950	8578	9264	10005
5	5	6	6	6	6	8	8	9	11	11	11	12	13	13	15	16	16	18	20	22	24	26	27	29	31	33	36	38	42	44	48	55	59	63	69	76	83	88	96	104	112	121	131	141	157	169	182	193	212	229	246	269	290	313	339	368	397	431	465	503	541	584	630	681	734	791	853	921	996	1074	1161	1249	1352	1461	1582	1705	1845	1995	2153	2320	2509	2707	2921	3156	3415	3687	3980	4299	4639	5008	5408	5846	6312	6815	7362	7950	8577	9264	10006
5	6	6	6	6	7	8	8	10	10	10	11	13	14	14	15	17	17	19	19	22	24	25	27	29	30	34	35	38	41	44	48	55	58	63	68	75	82	89	96	103	112	122	132	143	157	168	183	195	213	228	246	270	290	313	340	367	396	430	464	503	541	584	630	680	735	791	853	921	995	1073	1160	1249	1352	1462	1582	1706	1845	1995	2152	2320	2508	2706	2921	3156	3414	3687	3981	4298	4639	5008	5409	5846	6312	6816	7361	7950	8577	9264	10005
